Area,Region,Avg_Price,Min_Price,Max_Price,Volatility,Trend_2010_2023,Data_Points,Year_Min,Year_Max
Trinidad and Tobago,Americas,75.21,7.96,282.91,75.84,28.39,2280.0,1991.0,2024.0
Tunisia,Africa,86.6,22.08,649.38,43.76,116.28,4046.0,1991.0,2024.0
Turkmenistan,Asia,91.94,11.25,312.35,45.49,61.39,1624.0,1997.0,2024.0
TÃ¼rkiye,Other,130.47,0.02,3871.58,104.6,1157.06,4930.0,1991.0,2024.0
Ukraine,Europe,80.8,0.25,4742.86,178.11,337.57,3550.0,1994.0,2024.0
United Kingdom of Great Britain and Northern Ireland,Europe,88.99,4.96,488.87,81.5,64.79,2659.0,1991.0,2024.0
United Republic of Tanzania,Africa,72.69,0.09,178.78,733.76,189.89,1307.0,1991.0,2024.0
United States of America,Americas,86.06,11.52,498.13,60.04,26.14,4396.0,1991.0,2024.0
Uruguay,Americas,67.16,0.75,372.27,81.71,177.84,2704.0,1991.0,2024.0
Vanuatu,Oceania,87.7,31.46,118.03,19.15,27.45,520.0,1999.0,2024.0
Viet Nam,Asia,65.45,4.72,447.0,141.7,53.3,2414.0,1991.0,2024.0
Yemen,Asia,91.62,1.66,1716.14,132.19,524.93,2730.0,1991.0,2024.0
Zambia,Africa,127.08,3.3,1080.47,230.39,451.91,592.0,2005.0,2024.0
Zimbabwe,Africa,10556.42,0.04,1826611.51,6714.45,,1276.0,1991.0,2018.0
